Component,Valid_Days,Missing_%,Mean,Std,Median,Min,Max,95th_Percentile,NAAQS_Limit,Exceedance_%,AQI_Correlation
PM2.5,1134,37.86,107.52,80.47,82.56,4.81,529.87,264.61,60.0,62.61,0.921
PM10,1135,37.81,207.46,116.99,199.02,11.35,640.19,420.17,100.0,78.15,0.929
NO,1135,37.81,12.01,16.62,4.55,0.69,155.11,46.16,N/A,N/A,0.566
NO2,1135,37.81,29.23,18.43,25.52,3.45,115.59,61.3,80.0,3.52,0.728
NOx,1135,37.81,25.36,21.34,17.53,3.39,191.26,68.71,N/A,N/A,0.695
NH3,1128,38.19,20.76,12.02,19.2,0.2,65.94,42.82,400.0,0.0,0.264
SO2,1121,38.58,11.83,7.64,9.37,2.42,47.1,26.94,80.0,0.0,0.443
CO,1136,37.75,1.07,0.47,1.0,0.28,4.02,1.78,2.0,2.82,0.364
Ozone,1118,38.74,31.05,19.81,25.74,2.17,109.72,70.62,100.0,0.36,0.164
Benzene,1138,37.64,2.32,2.58,1.25,0.0,13.16,8.04,5.0,15.73,0.552
Toluene,1138,37.64,15.28,16.43,10.08,0.0,176.23,43.58,N/A,N/A,0.467
Xylene,1138,37.64,1.26,1.67,0.69,0.0,20.27,4.11,N/A,N/A,0.486
O_Xylene,0,100.0,,,,,,,N/A,N/A,
Eth_Benzene,0,100.0,,,,,,,N/A,N/A,
MP_Xylene,0,100.0,,,,,,,N/A,N/A,
AT,1135,37.81,24.12,7.55,25.75,7.78,38.44,34.31,N/A,N/A,-0.557
RH,1136,37.75,59.75,14.44,62.42,28.23,87.03,78.72,N/A,N/A,0.034
WS,0,100.0,,,,,,,N/A,N/A,
WD,1136,37.75,170.81,72.58,171.47,37.0,318.45,274.07,N/A,N/A,0.202
RF,878,51.89,0.11,0.64,0.0,0.0,10.0,0.5,N/A,N/A,-0.168
TOT_RF,1825,0.0,0.93,6.88,0.0,0.0,169.0,1.0,N/A,N/A,-0.203
SR,1136,37.75,143.47,56.27,145.74,4.53,419.48,233.2,N/A,N/A,-0.357
BP,1136,37.75,982.38,8.39,981.91,963.59,999.44,994.95,N/A,N/A,0.481
VWS,0,100.0,,,,,,,N/A,N/A,
